TIME,CH2
-5.000,0.01
-4.999,0.01
-4.998,0.03
-4.997,0.01
-4.996,-0.01
-4.995,0.01
-4.994,0.01
-4.993,-0.01
-4.992,-0.01
-4.991,-0.01
-4.990,0.01
-4.989,0.01
-4.988,0.01
-4.987,-0.01
-4.986,0.01
-4.985,0.01
-4.984,0.01
-4.983,0.01
-4.982,0.01
-4.981,-0.01
-4.980,0.01
-4.979,0.01
-4.978,-0.01
-4.977,0.01
-4.976,0.01
-4.975,0.01
-4.974,-0.01
-4.973,0.01
-4.972,0.03
-4.971,0.01
-4.970,0.01
-4.969,-0.01
-4.968,0.01
-4.967,0.01
-4.966,0.01
-4.965,0.01
-4.964,-0.01
-4.963,0.01
-4.962,0.01
-4.961,0.01
-4.960,0.01
-4.959,0.01
-4.958,0.03
-4.957,0.01
-4.956,0.01
-4.955,0.01
-4.954,-0.01
-4.953,-0.01
-4.952,0.01
-4.951,0.01
-4.950,0.01
-4.949,0.01
-4.948,0.01
-4.947,0.01
-4.946,-0.01
-4.945,0.01
-4.944,0.01
-4.943,0.01
-4.942,0.01
-4.941,-0.03
-4.940,0.01
-4.939,0.01
-4.938,-0.01
-4.937,0.01
-4.936,-0.01
-4.935,0.01
-4.934,0.01
-4.933,0.01
-4.932,0.01
-4.931,0.01
-4.930,0.01
-4.929,0.01
-4.928,0.01
-4.927,0.01
-4.926,0.01
-4.925,-0.01
-4.924,0.01
-4.923,0.01
-4.922,-0.01
-4.921,0.01
-4.920,0.01
-4.919,-0.01
-4.918,-0.01
-4.917,0.01
-4.916,0.01
-4.915,0.01
-4.914,0.01
-4.913,0.01
-4.912,0.03
-4.911,0.01
-4.910,0.01
-4.909,0.01
-4.908,0.01
-4.907,0.01
-4.906,0.01
-4.905,0.01
-4.904,0.01
-4.903,0.01
-4.902,0.01
-4.901,0.01
-4.900,0.01
-4.899,0.01
-4.898,0.03
-4.897,0.01
-4.896,0.01
-4.895,0.01
-4.894,0.01
-4.893,0.01
-4.892,-0.01
-4.891,0.01
-4.890,0.01
-4.889,0.01
-4.888,0.01
-4.887,0.01
-4.886,0.01
-4.885,0.03
-4.884,-0.01
-4.883,0.03
-4.882,0.01
-4.881,0.01
-4.880,0.01
-4.879,0.01
-4.878,0.01
-4.877,-0.01
-4.876,0.01
-4.875,-0.03
-4.874,-0.01
-4.873,0.01
-4.872,0.01
-4.871,0.01
-4.870,0.01
-4.869,0.01
-4.868,0.01
-4.867,0.01
-4.866,0.01
-4.865,0.01
-4.864,0.01
-4.863,0.01
-4.862,0.01
-4.861,-0.01
-4.860,0.03
-4.859,0.01
-4.858,0.01
-4.857,0.01
-4.856,-0.01
-4.855,0.01
-4.854,-0.01
-4.853,0.01
-4.852,0.01
-4.851,0.03
-4.850,0.01
-4.849,-0.01
-4.848,0.01
-4.847,0.01
-4.846,0.01
-4.845,0.03
-4.844,0.01
-4.843,0.01
-4.842,-0.01
-4.841,-0.01
-4.840,0.01
-4.839,0.01
-4.838,0.01
-4.837,0.01
-4.836,-0.01
-4.835,0.01
-4.834,0.01
-4.833,0.03
-4.832,0.01
-4.831,0.01
-4.830,0.01
-4.829,0.01
-4.828,0.01
-4.827,0.01
-4.826,-0.01
-4.825,0.01
-4.824,0.01
-4.823,0.01
-4.822,0.01
-4.821,0.01
-4.820,0.01
-4.819,0.03
-4.818,0.01
-4.817,0.03
-4.816,0.01
-4.815,0.01
-4.814,0.01
-4.813,0.01
